gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000000001,134190559.19287433,0.6437464947234993,0.5146246182471297,1.250904974029757,0.2109691489326153,0.5790983848903246
ENSDARG00000000002,85514076.12832433,0.35672308840524325,0.6061802722537646,0.5884769015642077,0.5562122334548891,0.827132786083035
ENSDARG00000000018,398763478.33070177,-0.07542866964102053,0.11275222488861586,-0.6689772172170791,0.5035100112383775,0.7996897847224383
ENSDARG00000000019,2186981515.3781023,0.05651884195195172,0.30037106977055156,0.18816340067345871,0.8507485620198613,0.9553720424213653
ENSDARG00000000068,862911147.4907204,-0.5894648976361254,0.49978406946337744,-1.179439149129021,0.2382233538351084,0.6048872619721807
ENSDARG00000000069,3381038144.0315895,0.04796779995389829,0.30235951695667673,0.15864491528729127,0.8739486396087354,0.9628416513057498
ENSDARG00000000086,910172643.9284351,-0.18193039569158959,0.25812845794105854,-0.7048056504220541,0.480931191714703,0.7856391355311048
ENSDARG00000000103,5000959970.578576,-1.0400281397916924,0.6852527268904389,-1.5177292974975296,0.12908265515669143,0.48215447282211266
ENSDARG00000000142,91993209.21197818,-0.9956659747121986,0.31259142984234767,-3.1851992078424956,0.0014465439472818216,0.04934222381372723
ENSDARG00000000151,269347863.4552821,0.3434606546020506,0.3958524006225812,0.8676482801717738,0.3855869073557384,0.7263697022370423
ENSDARG00000000161,45789773.09775299,-0.3796705007296416,0.36773484705846343,-1.0324572277189727,0.3018579748812642,0.6640103257026547
ENSDARG00000000175,6860544.785277796,-0.1292369907709594,1.1819269406631694,-0.10934431420815709,0.9129293996291664,
ENSDARG00000000183,56196053.66016112,0.2043406604498701,0.4030393082419181,0.50699933299612,0.6121552865759309,0.8548910558877523
ENSDARG00000000189,43963242.620691136,0.06429748395860803,0.49797805933473005,0.12911710215607844,0.8972649897190327,0.9701171043146222
ENSDARG00000000212,35272779.99140499,1.3916713246749584,1.8823615142905803,0.7393220240159064,,
ENSDARG00000000229,361222255.26193106,-1.0605802763041594,0.4958892701092343,-2.138744151633963,0.032456394741014374,0.25939447290819484
ENSDARG00000000241,8195303362.542251,0.40251106493733046,1.0545470404231247,0.3816909530899898,0.7026906113393299,0.8984284965391446
ENSDARG00000000324,433949175.31549007,-0.13664073841687716,0.3618424551345389,-0.3776249483109214,0.705709228608389,0.8998213142006586
